platform,genre,number_players,rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score,Media_usuario,Media_meta
5,29,0,3,34,2,0,15,3,3,85,81,66.78947368421052,72.84210526315789
4,2,35,3,47,4,0,50,6,2,85,78,66.5807150595883,71.39869989165764
5,3,0,5,33,4,0,43,5,0,85,84,67.53865979381443,71.60309278350516
1,28,35,3,24,1,0,40,5,3,84,86,69.51773049645391,71.83333333333333
1,2,2,1,7,0,0,24,3,2,84,77,66.5807150595883,71.39869989165764
1,38,35,5,38,4,0,268,106,154,84,70,70.26510067114094,73.19127516778524
4,2,35,1,46,9,0,25,9,2,84,78,66.5807150595883,71.39869989165764
5,2,35,2,22,3,0,11,1,0,84,80,66.5807150595883,71.39869989165764
1,43,35,6,41,1,0,273,35,55,84,84,63.71052631578947,68.73684210526316
5,2,14,1,65,5,0,126,39,11,84,80,66.5807150595883,71.39869989165764
4,5,14,3,28,4,0,49,2,2,84,88,67.22970297029703,71.65544554455445
0,3,29,2,66,8,1,170,7,4,83,88,67.53865979381443,71.60309278350516
5,2,26,5,26,2,0,13,1,1,83,80,66.5807150595883,71.39869989165764
4,28,35,1,57,8,0,15,3,1,83,79,69.51773049645391,71.83333333333333
4,3,35,5,9,0,0,9,3,1,83,82,67.53865979381443,71.60309278350516
1,2,35,5,39,4,0,66,24,3,83,79,66.5807150595883,71.39869989165764
1,3,35,5,27,3,0,186,69,41,83,80,67.53865979381443,71.60309278350516
4,2,35,5,62,11,0,134,20,0,83,86,66.5807150595883,71.39869989165764
1,5,14,6,7,3,0,25,15,29,83,64,67.22970297029703,71.65544554455445
1,2,35,3,34,4,0,406,118,155,83,75,66.5807150595883,71.39869989165764
4,2,29,5,26,2,0,11,2,0,83,75,66.5807150595883,71.39869989165764
0,3,6,3,68,10,0,98,13,2,82,84,67.53865979381443,71.60309278350516
0,35,14,2,48,6,0,20,4,0,82,81,67.04629629629629,73.27777777777777
4,21,35,1,39,3,0,12,1,0,82,80,69.22543352601156,73.82658959537572
1,45,15,5,20,4,0,55,10,12,82,78,67.4431554524362,71.97679814385151
0,28,35,1,8,1,0,2,0,0,82,75,69.51773049645391,71.83333333333333
1,38,35,6,46,5,0,137,24,17,82,81,70.26510067114094,73.19127516778524
1,2,35,3,7,1,0,7,4,0,82,74,66.5807150595883,71.39869989165764
1,45,15,5,27,4,0,180,10,14,82,88,67.4431554524362,71.97679814385151
1,16,13,5,38,4,0,146,36,227,82,50,73.25925925925925,76.14814814814815
1,2,35,3,33,7,0,116,25,22,82,84,66.5807150595883,71.39869989165764
1,5,35,6,32,6,0,52,8,3,82,83,67.22970297029703,71.65544554455445
0,28,35,1,13,1,0,5,2,0,81,76,69.51773049645391,71.83333333333333
1,3,35,3,21,2,0,93,30,21,81,79,67.53865979381443,71.60309278350516
